Job title,Company name,Location,Skills
Quality Associate,Smart Data Solution,"Kandevsthan, Kupondole","Php,Html,Css,Asp.Net,Ui/Ux"
Dotnet Developer,KPO and Company,Hybrid,"Content Writing,Copy Writing,Proofreading,Content Management,Content Editing"
Web Content Writer (+Editor),KPO and Company,"Chabahil, Kathmandu","Interpersonal,Management,Time Management,Microsoft Office Suite"
Circulation Executive,New Business Age,Work From Home,"Communication,Teamwork,Time Management"
Intern-Accounts,New Business Age,Remote,
Graphic Designer,Ace Media and Marketing,Kathmandu,"Interpersonal,Management,Communication,Photoshop,Illustration"
Digital Marketing,Ace Media and Marketing,"Minbhawan, Prayag Marga","Interpersonal,Management,Communication,Photoshop,Illustration"
Chief Operations Manager,BM Nepal,Kathmandu,"Interpersonal,Management,Communication"
Head – Digitalization & Automat…,Reliance Life Insurance,Lainchaur,"Interpersonal,Management,Communication,Time Management"
Software Developer,Reliance Life Insurance,"New Baneshwor, Kathmandu","Interpersonal,Management,Communication,Html5,Sql"
USA Title Research,ABC Consulting,"New Baneshwor, Kathmandu","Interpersonal,Management,Communication,Organizational"
Java Developer (Spring),Dzango Technologies Limited,"Kupondole, Lalitpur","Html5/Css3,Git,React.Js"
HR/ Admin Officer,Ace Media and Marketing,Kathmandu,"Interpersonal,Management,Communication,Administration,Organizational"
"Writer/Editor (Tech, Gaming, Co…",Tech Central,Kathmandu,"Interpersonal,Management,Communication,Teamwork,Creative Thinking"
Sr. Executive Client Service,Ace Media and Marketing,Sankhuwasabha,"Interpersonal,Management,Communication,Problem Solving,Organizational"
Market Research Intern,InnoCSR Nepal (Good Bricks System),Surkhet,"Interpersonal,Marketing,Management,Communication,Customer Service"
Manager,Paradise Villa Boutique Hotel And Spa,Dhading,"Interpersonal,Management,Communication,Organizational"
Technician/ Maintenance,Smart Fitness,"Bishalnagar Chandol, Naxal","Interpersonal,Management,Communication,Organizational"
Digital Marketing,Smart Fitness,"Bishalnagar Chandol, Naxal","Interpersonal,Management,Communication,Organizational"
Sales Representative,Smart Fitness,"Bishalnagar Chandol, Naxal","Interpersonal,Management,Communication,Organizational"
Accountant,Smart Fitness,"Bishalnagar Chandol, Naxal","Interpersonal,Management,Communication,Organizational"
Consultant OB/GY,Human Development and Community Services (HDCS),HDCS-Chaurjahari Hospital Rukum (West),"Interpersonal,Management,Communication,Analytical,Organizational"
IT Manager,Shailung Group of Companies,"Manbhawan, Lalitpur",
Project Manager (Pipeline),Shailung Group of Companies,"Kapan, Kathmandu","Problem Solving,Presentation,Leadership,Multitasking,Time Management"
Account Manager,Shailung Group of Companies,"Manbhawan, Lalitpur","Interpersonal,Management,Communication,Analytical,Organizational"
Personal Assistant,Shailung Group of Companies,"Manbhawan, Lalitpur","Problem Solving,Presentation,Leadership,Multitasking,Time Management"
Project Manager (Road),Shailung Group of Companies,Mugling to Pokhara site,"Problem Solving,Presentation,Leadership,Multitasking,Time Management"
Talent Acquisition Officer,Incessant Rain Private Limited,"Chhauni, Kathmandu","Interpersonal,Communication,Sales,Time Management,Verbal Communication"
Radiographer,Biomed International,Kathmandu,
Store Officer,Biomed International,"Gairidhara, Naxal, Kathmandu, Nepal","Interpersonal,Management,Communication,Negotiation,Analytical,Microsoft Office Suite"
Network/CCTV Support Engineer,Techno Vision Traders,"Kathmandu, Nepal","Time Management,Networking,Cabling"
Accountant,Morgen Global HR Consultancy,Kathmandu,"Interpersonal,Management,Communication,Problem Solving,Organizational"
Accountant,Academia International College,"Gwarko, Lalitpur","Interpersonal,Communication,Leadership,Time Management"
Pre-School Teacher (Grade and …,"Mother's Pride Pre -School, Kamalpokhari","Kamalpokhari,Kathmandu (Krishna Pauroti Chowk)","Good Communication Skill,Honest,Responsible,Good Knowledge Of Computers"
Front Desk Officer (Female),"Mother's Pride Pre -School, Kamalpokhari","Kathmandu, Central Development Region, Nepal",
Subaward Specialist,FHI 360 Nepal,"Kathmandu, Nepal","Interpersonal,Management,Problem Solving,Time Management,Organizational"
Interior Designer,Shiv Shakti Group,Kathmandu,"Interpersonal,Management,Autocad,Creative Thinking,Organizational"
Sr. Android Developer,Soani Tech Nepal,Lalitpur,Android
.Net Software Engineer,Flextecs Nepal,Lalitpur,"Interpersonal,Management,Problem Solving,Javascript,C#"
Social Studies Teacher (Grade 4…,Kanjirowa National School,Kathmandu,"Content Writing,Copy Writing"
Content Writer,Movie Reels,Work from Home,
