Job title,Company name,Location,Skills
Graphic Designer,Zinc Holding,"Shantinagar, Kathmandu","Photoshop,Illustrator,Premiere Pro,Aftereffect"
Business Development Manager,Smart Life Company Limited,"Kathmandu, Nepal","Interpersonal,Management,Problem Solving,Organizational"
Sales & Marketing,Galaxy Express and Logistics Pvt. Ltd.,"Kathmandu, Nepal","Interpersonal,Marketing,Management,Communication"
WordPress Developer Wanted,khojnu.com,Sukedhara Kathmandu,"Php,Html,Css,Wordpress,Bootstrap"
Officer- Contract Execution Ass…,Metta Services Private Limited,"Tripureshwor Plaza, Tripureshwor11, Kathmandu, Nepal","Communication,Problem Solving,Time Management,Troubleshooting,Critical Thinking"
Computer Technician,Orbit Computer,"Chabahil, Kathmandu","Interpersonal,Marketing,Communication,Time Management"
Sales & Marketing Executive,Mahi Trade Concern,"Naikaap, Kathmandu","Interpersonal,Photoshop,Dreamweaver,Illustrator"
Graphic designer,Builders Mart Nepal,"Kathmandu, Nepal","Interpersonal,Management,Negotiation,Problem Solving,Sales,Presentation,Customer Service,Microsoft Office Suite"
Sales Executive,KTM Consulting Group,"Kathmandu, Nepal","Accounting,Time Management,Microsoft Office Suite,Organizational,Account Management"
Accountant,Lucky Thanka,"Thamel , Nursing Chowk",
Social Media and Marketing,Lucky Thanka,"Thamel, Nursing Chowk","Marketing,Problem Solving,Customer Service,Organizational"
Account Assistant,Starlight Express,"Starlight Building, Sahayogi Nagar, Janata Sadak, KTM32, 44…","Management,Accounting"
Digital Marketing Analyst,Rain Local,"Jhamsikhel, Lalitpur","Interpersonal,Digital Marketing,Management,Project Management"
DOT NET Developer (Junior),Team Next ICT Solutions Pvt. Ltd.,"kathmandu , Morang","Interpersonal,Management,Communication,Organizational"
Accountant,Prison Foundation,"Jhapa , Morang , Sunsari , Saptari , Siraha , Mohattari ,Pa…","Interpersonal,Management,Organizational"
District Facilitator / Counselo…,Prison Foundation, ,
Front Office Associate,The Milestone Hotel,Thamel,"Interpersonal,Marketing,Business Correspondence,Computer Operation,Customer Relationship Management"
Business Manager,NepClinic by Patients Clinic Pvt. Ltd.,Tripureshwor Kathmandu,"Interpersonal,Management,Negotiation,Administration,Organizational"
Housekeeping Supervisor-Female,The Milestone Hotel,Thamel,"Team Management,Verbal Communication"
Sales Associate,Paperline Enterprises,"Yangal, Kathmandu","Interpersonal,Management,Problem Solving,Sales,Organizational"
Municipal Information Associate, ,"New Road, Kathmandu",
WASH Specialist, ,Dhangadi and Dadeldhura,
Admin & Front Desk Officer, ,Lalitpur,
Student Development Manager for…, ,"Lagankhel-5, Lalitpur",
Staff Nurse, ,"Lagankhel-5, Lalitpur",
CMA, ,"Durbarmarg, Kathmandu.",
Junior Dealers, ,"Durbarmarg, Kathmandu",
Dealer Inspectors, ,"Durbarmarg, Kathmandu",
Gaming Executive, ,"Durbarmarg, Kathmandu",
Indian CDP/Indian Commi, ,"Durbarmarg, Kathmandu",
Tandoor Commi, ,"Durbarmarg, Kathmandu",
Chinese Commi, ,"Durbarmarg, Kathmandu",
Waiters/Waitress, ,"Durbarmarg, Kathmandu",
Barman, ,"Durbarmarg, Kathmandu",
Stewards, ,"Durbarmarg, Kathmandu",
Captains, ,"Durbarmarg, Kathmandu",
Jr. Surveillance Officer, ,"Durbarmarg, Kathmandu",
Sr. Surveillance Officer, ,"Durbarmarg, Kathmandu",
Senior Cashiers, ,"Durbarmarg, Kathmandu",
Jr. Cashiers, ,"Durbarmarg, Kathmandu",
Cage Executive, ,"Durbarmarg, Kathmandu",
Plumber, ,"Durbarmarg, Kathmandu",
IT Technician, ,"Durbarmarg, Kathmandu",
Senior Electrical Engineer, ,"Durbarmarg, Kathmandu",
Guest Relation Assistant, ,"Durbarmarg, Kathmandu",
Marketing Executive, ,"Bhaisepati, Lalitpur",
Rider, ,"Bhaisepati, Lalitpur",
Store Helper, ,"Bhaisepati, Lalitpur",
Customer Care, ,"Bhaisepati, Lalitpur",
Electrician, ,"Bhaisepati, Lalitpur",
Graphic Designer, ,"Bhaisepati, Lalitpur",
Helper, ,"Bhaisepati, Lalitpur",
Fedderman, ,"Bhaisepati, Lalitpur",
Long term consultant (Reporting…, ,Lalitpur,
Planning & Capacity Development…, ,"Birendranagar, Nepal",
Academic Coordinators for Plus 2, ,"Koteshwor, Kathmandu",
Bakery and Confectionary Traine…, ,"Koteshwor, Kathmandu",
Head Chef, ,Lazimpat,
Sales and Marketing, ,"Maitidevi, Kathmandu",
Program Coordinator-IT Program, ,"Maitidevi, Kathmandu",
IT Officer, ,"Maitidevi, Kathmandu",
Front Desk Officer, ,"Maitidevi, Kathmandu",
Program Officer, ,"Maitidevi, Kathmandu",
Digital Marketing Officer, ,"Maitidevi, Kathmandu",
Business Development Officer, ,"Maitidevi, Kathmandu",
Maths Teacher, ,"Maitidevi, Kathmandu",
IT Lab Technician, ,"Maitidevi, Kathmandu",
Program Coordinator-Business Pr…, ,"Maitidevi, Kathmandu",
Admin Officer, ,"Maitidevi, Kathmandu",
ECA-Head, ,"Maitidevi, Kathmandu",
Counselor, ,"Maitidevi, Kathmandu",
Examination Officer, ,"Maitidevi, Kathmandu",
Science Teacher, ,"Maitidevi, Kathmandu",
English Teacher, ,"Maitidevi, Kathmandu",
Computer Science Teacher, ,"Maitidevi, Kathmandu",
Chemistry Teacher, ,"Maitidevi, Kathmandu",
Physics Teacher, ,"Maitidevi, Kathmandu",
Executive Secretary to Director, ,Janakpurdham,
Marketing Executive, ,Okhaldhunga,
Program Coordinator, ,Okhaldhunga,
MDGP Consultant, ,Okhaldhunga,
Pediatrician, ,Okhaldhunga,
Staff Nurses, ,Okhaldhunga,
Nursing Instructor, ,Okhaldhunga,
Pharmacist, ,Okhaldhunga,
Pharmacy Assistant, ,Okhaldhunga,
Medical Sales Representatives(M…, ,Different Head quater of Nepal,
Area Sales Manager, ,"Kathmandu, Butwal, Biratnagar",
Communications and Media Specia…, ,Kathmandu,
Internal Audit Coordinator, ,Kathmandu,
Paralegals, ,Hetauda,
Senior Finance & Account Office…, ,Surkhet,
Finance and Administration Mana…, ,(Province 2 only),
Mechanical Supervisor, ,"New Baneshwor, Kathmandu",
Branch Manager, ,"Sanepa, Lalitpur",
Lab Technologist, ,"Kapurdhara Marg, Kathmandu.",
Project Manager - Disability In…, ,"Nawalparasi West, Bardaghat",
Branch Manager, ,"Birgunj, Parsa",
Process Manager, ,Bhaktapur,
Medical Secretary (MS), ,Pokhara,
Fund Raising Officer, ,Pokhara,
Hostel Warden, ,Pokhara,
IT Services Officer,The British College,Kathmandu,Technician/General Support
Quality Assurance Engineer,Upaya City Cargo Pvt. Ltd.,Kathmandu,Quality Assurance 
Flutter Developer,Upaya City Cargo Pvt. Ltd.,Kathmandu,Flutter
Full Stack Javascript Developer,UBA Solutions Pvt. Ltd.,Kathmandu,Full Stack JavaScript
Quality Analyst (Senior-Level),InfoDevelopers,Kathmandu,Quality Assurance 
C++ Developer (Senior/Mid),Ekbana Solutions,Kathmandu,C/C++
WordPress Developer,Paloma Events Nepal,Kathmandu,Wordpress
React Developer,Tej Solution,Kathmandu,React.js 
Senior QA Engineer,COTIVITI NEPAL,Kathmandu,Quality Assurance 
Python Developer,Tej Solution,Kathmandu,Python
Tech Lead - Full Stack Development (MERN),ESR Tech,Kathmandu,MERN Stack
Software Development Engineer in Test (SDET),UBA Solutions Pvt. Ltd.,Lalitpur,Quality Assurance 
.Net Developer,Eightsquare,Kathmandu,C#/.Net
Senior Front End Developer,Innovate Tech,Kathmandu,Front End
Software Developer (PHP/CI),IME Group,Kathmandu,PHP
Backend Web Developer,Youth Innovation Lab,Kathmandu,Python
Java Developer,Smart Data Solutions,Kathmandu,Java 
Senior Software Engineer,Hitachi Energy,Kathmandu,Software Engineer
Senior React Developer,Pagoda Labs,Kathmandu,React.js 
Software Quality Test Manager,Hitachi Energy,Kathmandu,Quality Assurance 
Software Engineer,Hitachi Energy,Kathmandu,Software Engineer
Project Manager,Hitachi Energy,Kathmandu,Project Manager
Principal Database Engineer,Hitachi Energy,Kathmandu,Database
PHP Developer - Laravel/CI,E-Multitech Solution,Kathmandu,PHP
Senior Java Developer,Pagoda Labs,Kathmandu,Java 
Quality Control Engineer,Nimble Infosys,Kathmandu,Quality Assurance 
Dot Net Developer,Nimble Infosys,Kathmandu,C#/.Net
Senior Dot Net Developer,Asterisk Technology,Kathmandu,C#/.Net
Senior Full Stack Shopify Developer,EB Pearls,Kathmandu,Shopify
Senior Flutter Developer,EB Pearls,Kathmandu,Flutter
PHP Developer,Neoteric Nepal,Kathmandu,PHP
Mid React JS Developer,LogicaBeans,Kathmandu,React.js 
IT Head,Annapurna Media Network,Kathmandu,IT 
Flutter Developer,Pay Nep (MORU),Kathmandu,Flutter
System Administrator,Mercantile Office Systems Pvt. Ltd. (MOSPL),Kathmandu,System 
Mobile Application Developer,Searchable Design,Kathmandu,Flutter
"Software Developer (PHP/CI, Node.js/Express)",MiDas Technologies,Kathmandu,PHP
Full Stack Developer,Tej Solution,Kathmandu,Full Stack Web
Node JS Developer,E-Multitech Solution,Kathmandu,Node.js
Senior Frontend Developer (Angular),Asterdio Inc,Kathmandu,Angular JS 
React Native Developer,Virtuosway,Kathmandu,React Native
React JS Developer,Virtuosway,Kathmandu,React.js 
Full Stack Shopify Developer,EB Pearls,Kathmandu,Shopify
.NET Developer,Teksewa Services,Kathmandu,C#/.Net
Laravel Developer,Mavorion,Kathmandu,Laravel
ReactJS Developer,Mavorion,Kathmandu,React.js 
Senior Java/Angular Developer,COTIVITI NEPAL,Kathmandu,Java 
React JS Developer,Podamibe Nepal Pvt. Ltd.,Kathmandu,React.js 
Data Engineer,Fusemachines Nepal,Kathmandu,Database
PHP Developer,Upaya City Cargo Pvt. Ltd.,Kathmandu,PHP
Database Developer,Eightsquare,Kathmandu,Database
Senior Dot net Developer,GenTech,Kathmandu,C#/.Net
Senior .NET Developer,Ultra Tendency,Kathmandu,C#/.Net
DevOps Engineer,COTIVITI NEPAL,Kathmandu,DevOps
Flutter Developer,Mavorion,Kathmandu,Flutter
MS - SQL Developer,COTIVITI NEPAL,Kathmandu,Database
Senior React JS Developer,LogicaBeans,Kathmandu,React.js 
Flutter Developer,Podamibe Nepal Pvt. Ltd.,Kathmandu,Flutter
Software Quality Assurance Engineer,Podamibe Nepal Pvt. Ltd.,Kathmandu,Quality Assurance 
Dot Net Developer,COTIVITI NEPAL,Kathmandu,C#/.Net
Node JS Developer,Podamibe Nepal Pvt. Ltd.,Kathmandu,Node.js
